taskid	tweetid	tweet_type	persp_toxicity_score	text	ToJournalist
756	1433800028968136704	reply-other-handle	0.54375964	@ghadaoueiss خنزير مصر التافه	0
1000	1437847215888912384	reply-other-handle	0.9254919	@ghadaoueiss اللعنة بلا مروءة	0
999	1463409861111291904	reply-other-handle	0.9017833	@ghadaoueiss كلكن عاهرات	0
998	1476526866467020802	reply-other-handle	0.8831064	@ghadaoueiss غادة جاكوسي عاهرة نظام الحمارين	1
997	1437457594965184512	reply-other-handle	0.8795294	@ghadaoueiss اقترح انك تتجاهلي مثل هذا القرف	1
996	1459814337397276673	reply-other-handle	0.8763571	@ghadaoueiss هؤلاء حمقي	0
995	1437510184809766912	reply-other-handle	0.87209356	@ghadaoueiss عندما تتحدث العاهرة عن البذائة	1
994	1443537288026284043	reply-other-handle	0.87209356	@ghadaoueiss يا له من احمق	0
993	1457703132847349763	reply-other-handle	0.86967754	@ghadaoueiss يسمى صهاينة خنازير	0
992	1459623548771872774	reply-other-handle	0.867151	@ghadaoueiss ذلك الكر لهذا الحمار	0
991	1463172518307586058	reply-other-handle	0.867151	@ghadaoueiss لديها شرف أكثر من الصهاينة العرب الذين يركعون أمام أسيادهم الإسرائيليين. لعنة الله عليهم. إنهم خونة وجبناء وسرطان للأمة!	0
990	1481279712504782855	reply-other-handle	0.8546526	@ghadaoueiss اليهود الكلاب	0
989	1453220291489013765	reply-other-handle	0.8457076	@ghadaoueiss تف في وجهك	1
988	1455652100977856512	reply-other-handle	0.8393344	@ghadaoueiss كلهم كلاب أبناء كلبة لذلك يمارسون الأسلوب نفسه.	0
987	1459618159372247043	reply-other-handle	0.8393344	@ghadaoueiss أنت قذرة	1
986	1464621062017146889	reply-other-handle	0.8393344	@ghadaoueiss العاهرة التي تعطي دروساً عن الشرف	1
985	1467154417375977473	quote-other-handle	0.8393344	اللعنة على اليهود وبني سعود وزايد وكل من تولاهم	0
984	1472663111341592576	reply-other-handle	0.8346757	@ghadaoueiss هم الاثنان معا مجرم أبله!!	0
983	1478861037814362124	reply-other-handle	0.8346757	@ghadaoueiss يجب قطع يد هذا الخنزير	0
982	1449702027513188353	reply-other-handle	0.83020335	@ghadaoueiss يا أيتها المومسة ماذا بك؟	1
981	1467120111580504069	reply-other-handle	0.83020335	@ghadaoueiss هو صحيح بجد أن أمير داعش اغتصبك	1
980	1467612483099713541	reply-other-handle	0.83020335	@ghadaoueiss هذا نائب شاذ	0
979	1437525043567681536	reply-other-handle	0.8202001	@ghadaoueiss الحمار أكل الدستور	0
978	1438345131661332484	reply-other-handle	0.8129004	@ghadaoueiss كلاهم حثالاء	0
977	1446607492230885377	reply-other-handle	0.8129004	@ghadaoueiss إلى جحر الحمار الداخلي	0
976	1458858025398288390	reply-other-handle	0.8129004	@ghadaoueiss انتي وقحة ارهابية	1
975	1464761656827912194	reply-other-handle	0.8129004	@ghadaoueiss @Ibrahimissa985 ليدك في زبي	1
974	1467164112148905991	reply-other-handle	0.8086813	@ghadaoueiss يجب تطهير العالم من الصهاينة هم الوباء الوحيد في كل مكان	0
973	1459591821156311046	reply-other-handle	0.7816909	@ghadaoueiss تلك ثقافة حثالات البشر	0
972	1458350488135553027	reply-other-handle	0.78018236	@ghadaoueiss في الوسط معتوه ويشبه الشمبانزي	0
971	1482856176769552385	reply-other-handle	0.78018236	@ghadaoueiss هؤلاء حثالة الخليقة هم وقاعده.	0
970	1464234663317233664	reply-other-handle	0.77806646	@ghadaoueiss لا يوجد ما هو أقبح من لسان عربي وقلب صهيوني	0
969	1448690210175262723	reply-other-handle	0.7699882	@ghadaoueiss قطعان من البهائم. إن شر الدواب عند الله الصم البكم الذين لا يعقلون.	0
968	1454210020095168518	reply-other-handle	0.7593913	@ghadaoueiss كل لبناني نجس	0
967	1453332543579774982	reply-other-handle	0.7569718	@ghadaoueiss اتبع مقولة النظام مؤامرة كونيه. غبي غبي غبي. بكل أجوبته	0
966	1458157890074812419	reply-other-handle	0.7569718	@ghadaoueiss يريدون حماية المجتمع من العاهرات	0
965	1459631921785458689	reply-other-handle	0.7569718	@ghadaoueiss معتوه	0
964	1459652496809410562	reply-other-handle	0.7569718	@ghadaoueiss معتوه	0
963	1454759107827732481	reply-other-handle	0.7545523	@ghadaoueiss أنت شر على الأرض	1
962	1458412037189652482	reply-other-handle	0.7545523	@ghadaoueiss إنتي مع من؟! يظهر إنك معقدة ومريضة نفسيا	1
961	1459621267238174723	reply-other-handle	0.7545523	@ghadaoueiss لعنة الله عليك	0
960	1467165864835403778	reply-other-handle	0.7545523	@ghadaoueiss هل هتلر كان مخطىء في قتل هؤلاء ... النازية أرحم من هؤلاء الاوغاد ... هذا المجرم لا يفهم سياسة الكلام  هذا يفهم للغة الرصاص والنار ...	0
